step,active_vehicles,waiting_time,halting,speed,reward
407,937,5056.0,71,10.463253773436758,-93.06892168855225
408,937,5122.0,72,6.986621910211728,-97.16874430264033
409,937,5189.0,71,10.458735716045933,-94.4622467069411
410,937,5259.0,73,10.456604690633952,-96.10050154118288
411,937,5333.0,75,6.979214627254631,-100.72368114163092
412,937,5400.0,72,10.453029737705428,-96.98812459752916
413,937,5475.0,75,10.454952925385182,-99.35394997646132
414,936,5547.0,76,5.248281073954207,-104.23441202910831
415,936,5318.0,74,10.47744066265125,-97.16336717707607
416,936,5092.0,74,10.470426956531709,-94.77725266332723
417,936,4866.0,72,10.514578573933743,-91.95889753308464
418,936,4639.0,73,7.046103504285595,-92.51593642505449
419,936,4413.0,72,10.510971470595877,-86.9782895735292
420,936,4187.0,73,10.51351642278956,-85.20281823196218
421,935,3962.0,73,7.040728151655202,-85.60017194236275
422,934,3735.0,71,10.509403605159758,-79.40969110074494
423,934,3512.0,72,10.51337830095482,-77.83846485446094
424,934,3288.0,73,7.037384768415613,-79.18833427916402
425,934,3065.0,73,10.51241679019718,-74.05732696905766
426,934,3136.0,73,10.516608480216284,-74.83584000761577
427,934,3211.0,77,7.024522614677869,-80.55527534625782
428,934,3286.0,75,10.49678014809517,-77.03284248493898
429,934,3363.0,77,10.478507124868674,-78.66712297260014
430,934,3441.0,79,7.00761503008158,-83.63168362185534
431,934,3520.0,79,10.470823643349178,-81.67654373535947
432,934,3599.0,80,10.462216586107882,-82.90042284617054
433,934,3680.0,82,6.980530916227911,-87.73769215480323
434,933,3764.0,84,10.442472837289982,-86.46745299868925
435,933,3849.0,85,10.436977310615138,-88.1757267549025
436,932,3935.0,87,6.958123806104208,-92.93571360181093
437,931,4023.0,89,10.427350056940112,-92.0561451638076
438,931,4112.0,89,10.425978152616171,-93.0956440045496
439,931,4202.0,91,6.952610639021074,-97.95350793000156
440,931,4293.0,91,10.423748997445642,-95.90722166847937
441,931,4385.0,92,10.42197784985592,-97.31917414515016
442,930,4477.0,93,6.948820671414756,-101.6905149688131
443,930,4570.0,93,10.419758821322562,-99.67265408677326
444,930,4663.0,93,10.41924454291706,-100.62385811075607
445,930,4757.0,95,6.94595412474585,-105.48868412891343
446,930,4852.0,95,10.418292010801315,-103.52101442999167
447,930,4947.0,95,10.418113606816672,-104.47079575991788
448,930,5042.0,96,6.945512695422215,-108.85245615768044
449,930,5137.0,95,10.417706630802472,-106.36844594350259
450,929,5232.0,95,10.417633899463674,-107.32303540814631
451,929,5327.0,96,6.945066121450673,-111.7032550285978
452,929,5422.0,95,10.417540049847428,-109.2239773765966
453,928,5517.0,96,6.94500878868193,-113.60398822985823
454,928,5478.0,94,6.979627446244422,-112.70184913558256
455,928,5438.0,93,6.970907427572001,-111.28558333215742
456,928,5398.0,92,6.970819309473976,-110.2664666725163
457,928,5358.0,90,6.969278325012999,-108.73796200532797
458,928,5321.0,90,6.9769147417942685,-108.60071503626965
459,928,5285.0,90,6.971572486533223,-108.09468556164592
460,928,5247.0,88,6.9752581524395385,-106.7854554283702
461,928,5210.0,87,6.970605554694787,-105.85752137732467
462,928,5173.0,86,6.974113098317297,-105.18091068798425
463,928,5136.0,86,6.973562146602631,-104.77147848588547
464,928,5132.0,83,6.973383302951509,-102.9236548047819
465,928,5076.0,81,6.996241350268572,-101.50211020187258
466,928,5089.0,80,7.026450582816697,-101.16872142553217
467,928,5102.0,77,7.015928236581732,-99.63179385589011
468,928,5116.0,76,7.014779529846703,-99.07182977303485
469,928,5133.0,75,7.022761645006192,-98.67116788842172
470,928,5150.0,75,7.011233599765145,-98.85164426204369
471,928,5169.0,75,7.004881210867542,-98.85852110556615
472,928,5237.0,74,7.011223500497217,-99.5757939217543
473,928,5257.0,74,7.010108692429725,-99.43626622061949
474,928,5282.0,76,7.010264474358097,-100.6418666897753
475,927,5300.0,73,7.002280760361885,-99.30234171120628
476,927,5324.0,75,7.002644532431149,-100.60569502627293
477,927,5398.0,75,7.007446182419544,-101.50831644213272
478,927,5424.0,77,7.037368969161156,-102.43835420922713
479,927,5448.0,75,6.9961035491126715,-102.05017789186383
480,927,5525.0,77,6.992015921717211,-103.73797942299304
481,927,5554.0,78,6.981189300574789,-104.5053159486188
482,927,5582.0,77,6.97449292107963,-104.53586300335957
483,927,5611.0,78,6.973645062061966,-105.40677059638153
