step,active_vehicles,waiting_time,halting,speed
474,916,17583.0,293,1.7033370249430462
475,915,17744.0,294,1.7149646743261893
476,915,18017.0,298,1.6904049338939875
477,915,18183.0,299,1.6445057588069927
478,915,18344.0,299,1.593399633696517
479,915,18506.0,298,1.6143181484912663
480,914,18669.0,304,1.611572017842323
481,912,18847.0,307,1.5234508204670367
482,911,19047.0,307,1.5201255624511516
483,911,19251.0,308,1.5244620932392838
484,909,19544.0,311,1.5160076073384774
485,909,19754.0,312,1.5323290685614703
486,909,19949.0,311,1.5346564406790082
487,909,20152.0,315,1.5044739549787471
488,908,20356.0,316,1.4409488260526164
489,906,20562.0,315,1.3958810949089961
490,905,20773.0,316,1.3941485971986094
491,905,20985.0,318,1.4253341562492021
492,905,21281.0,319,1.4660721339351728
493,903,21543.0,319,1.4246833433176942
494,903,21790.0,318,1.4673335989725267
495,903,22052.0,319,1.5164559176718184
496,903,22302.0,318,1.5369130654732825
497,903,22608.0,319,1.5324346490491485
498,903,22876.0,320,1.5524595302312325
499,902,23145.0,320,1.5084314827665204
500,902,23417.0,321,1.4724967543231506
501,902,23685.0,320,1.4234977514786236
502,902,23956.0,319,1.3819299483720693
503,902,24271.0,322,1.3640558695653633
504,902,24552.0,325,1.3186661742247179
505,902,24839.0,325,1.3279758042604894
506,902,25123.0,328,1.3484905171988266
507,902,25406.0,329,1.3657607548869122
508,900,25730.0,329,1.3304731563827639
509,900,26056.0,331,1.3591640640339162
510,899,26384.0,333,1.2812646843465894
511,898,26717.0,335,1.275521190194043
512,898,26999.0,333,1.303947920086843
513,898,27286.0,336,1.3400755925820251
514,897,27573.0,336,1.3129195634257511
515,896,27861.0,336,1.307814504868866
516,896,28154.0,337,1.293676078237792
517,894,28441.0,337,1.202247126211849
518,894,28734.0,337,1.2009711717679574
519,893,29024.0,336,1.2006566894896638
520,893,29315.0,337,1.221800609086939
521,892,29608.0,336,1.2111542962871766
522,891,29902.0,338,1.1983639729168605
523,891,30201.0,340,1.232153659173816
524,891,30498.0,339,1.2731752923647404
525,891,30796.0,339,1.2937827818719412
526,889,31118.0,341,1.2173989107755054
527,889,31400.0,337,1.2281156607110535
528,889,31618.0,337,1.2502834572056145
529,889,31834.0,335,1.2426223452330236
530,888,32066.0,332,1.249874183279192
531,888,32298.0,329,1.2599335827306148
532,888,32532.0,331,1.2421433028890112
533,888,32767.0,330,1.2318388300736676
534,888,33004.0,328,1.2062606587139661
535,888,33295.0,330,1.1891886860734335
536,888,33627.0,332,1.1893242025507826
537,888,33924.0,332,1.1610205105930513
538,888,34218.0,332,1.1054717653145283
539,888,34520.0,337,1.0866269430647004
540,888,34832.0,335,1.081679663973809
541,887,35161.0,337,1.04394864541418
542,887,35491.0,341,1.0436013448779826
543,887,35823.0,340,1.0685575958508613
544,887,36161.0,343,1.0739804771899142
545,887,36501.0,347,1.0719792957401235
546,887,36839.0,343,1.0898349802475853
547,887,37181.0,345,1.0783689007223962
548,887,37527.0,350,1.0764081445364535
549,886,37875.0,349,1.065662034013305
550,885,38226.0,351,1.025903926252563
551,885,38565.0,354,1.0451888219327916
552,885,38908.0,354,1.094725212487487
553,885,39253.0,357,1.1050738781557137
554,885,39599.0,357,1.0968725366173029
555,885,39949.0,358,1.131839951684731
556,885,40299.0,358,1.1493964280195919
557,885,40653.0,362,1.1528555728205254
558,884,41006.0,362,1.1553207228974227
559,884,41361.0,362,1.207417708398335
560,884,41719.0,365,1.2482609550921042
561,884,42084.0,366,1.3194755188334713
562,884,42442.0,366,1.3544543811268055
563,884,42802.0,366,1.351131126101417
564,883,43161.0,365,1.3307828354459017
565,882,43522.0,365,1.2930067840317574
566,882,43888.0,367,1.2753174868682768
567,881,44214.0,366,1.2208927691831404
568,881,44540.0,363,1.2248910706644223
569,880,44864.0,363,1.250353771080415
570,879,45189.0,362,1.20272123050825
571,878,45514.0,360,1.1674371763238853
572,878,45844.0,363,1.1932177947622062
573,878,46208.0,365,1.2057589103498254
574,878,46566.0,365,1.2244752489765856
575,877,46933.0,368,1.1976140395511208
576,877,47299.0,369,1.2121510527735524
577,876,47664.0,369,1.1657495683593928
578,876,48029.0,369,1.1590243457259466
579,876,48400.0,371,1.1238238078238174
580,876,48767.0,371,1.1135029739247342
581,875,49136.0,372,1.080370723605614
582,874,49507.0,373,1.0044528349775992
583,874,49877.0,373,0.9987425043472107
584,874,50249.0,374,1.0377872869913267
585,874,50622.0,374,1.0764041077946778
586,873,50996.0,375,1.0936816211605647
587,873,51371.0,376,1.1115455066375548
588,873,51747.0,376,1.1343259955970988
589,871,52122.0,377,1.070616470562236
590,871,52499.0,378,1.0665874211495099
591,871,52876.0,378,1.0428070048623037
592,871,53256.0,380,1.0709501492117706
593,871,53637.0,381,1.0784176794185731
594,871,54019.0,382,1.0707863850169963
595,870,54401.0,382,1.0410609739132446
596,870,54784.0,384,1.020171342651803
597,869,55167.0,383,0.9999110564509244
598,869,55551.0,384,0.9891849941498991
599,868,55935.0,384,0.9305386289967946
600,868,56319.0,384,0.9119653854873613
601,868,56704.0,385,0.8844764516390737
602,868,56789.0,386,0.8672233539528306
603,868,57174.0,385,0.8314434110187344
604,868,57560.0,386,0.8320705255960212
605,868,57947.0,387,0.8479872179776203
606,868,58334.0,388,0.871459374725766
607,868,58722.0,388,0.8656087518374705
608,868,59112.0,390,0.842450654833781
609,868,59503.0,392,0.8323976749895304
610,867,59895.0,392,0.8161040919049926
611,866,60288.0,393,0.7876842601875307
612,865,60683.0,396,0.7304378517725371
613,865,61079.0,396,0.7178632928318778
614,865,61476.0,397,0.6939200437459666
615,864,61876.0,401,0.6616873353556861
616,864,61974.0,399,0.6833760238329121
617,863,62075.0,400,0.6455928035019919
618,863,62176.0,400,0.6177197503583748
619,862,62279.0,400,0.605855142342426
620,862,62081.0,400,0.6391401378351494
621,862,61884.0,401,0.6680602323960475
622,862,61689.0,401,0.6902584299995348
623,861,61494.0,399,0.6709853700785379
624,861,61596.0,399,0.6605663456488672
625,860,61700.0,402,0.6133975654514867
626,860,61802.0,400,0.5817283831690045
627,860,61907.0,402,0.5580481528519112
628,859,62013.0,402,0.5328843818117532
629,858,62122.0,404,0.5227567099375114
630,858,62233.0,406,0.5361187452368594
631,858,62641.0,408,0.5524098368110418
632,858,62753.0,408,0.5659616536668868
633,858,62866.0,408,0.5694230964740474
634,858,62978.0,407,0.5776770414073559
635,858,62790.0,408,0.5791113011521716
636,858,62897.0,407,0.5875496915015697
637,858,63004.0,407,0.5714420930864013
638,858,63112.0,408,0.5692133529330237
639,858,63222.0,408,0.5711669735331555
640,858,63331.0,407,0.5727170989641396
641,858,63442.0,408,0.5860250951097667
642,858,63553.0,408,0.5926110292414744
643,858,63664.0,407,0.580244614325183
644,858,63776.0,408,0.5528108699250905
645,857,64185.0,409,0.4970349312789434
646,857,64297.0,409,0.4768277141578858
647,857,64411.0,410,0.4509451538266266
648,857,64525.0,409,0.4234159879467263
649,857,64338.0,407,0.43259851522208276
650,857,64151.0,406,0.42121916998639913
651,857,64259.0,406,0.4347425324181136
652,857,64069.0,404,0.4542946561624954
653,857,63880.0,404,0.4752519316724805
654,857,63693.0,404,0.4821544884084623
655,857,63507.0,404,0.47853925428936944
656,857,63320.0,402,0.440780154675198
657,857,63427.0,403,0.41769928239472215
658,857,63242.0,402,0.4095053188086996
659,857,63058.0,402,0.40024866664180037
660,857,63160.0,402,0.42444026412370983
661,856,62671.0,401,0.38931644720194347
662,856,62184.0,399,0.41402810820934116
663,856,61698.0,397,0.44922361897033614
664,856,61212.0,396,0.45953432677826905
665,855,60728.0,396,0.44425752668055335
666,855,60242.0,393,0.45732380297339525
667,855,59757.0,393,0.45926091795001645
668,855,59273.0,393,0.47639477942249886
669,854,59417.0,392,0.46981411449125315
670,853,58977.0,392,0.4567500385714751
671,853,58540.0,392,0.4768159653916332
672,853,58103.0,391,0.48125283396512747
673,853,57956.0,390,0.49593261270108396
674,852,57518.0,387,0.4662950859402499
675,852,57325.0,388,0.44940620463246933
676,852,57133.0,387,0.4441445105557379
677,852,56983.0,388,0.44339330006462124
678,852,56546.0,388,0.4434574965594645
679,851,56399.0,389,0.4185351625981992
680,851,56252.0,389,0.4015421324894712
681,851,56397.0,390,0.4081121247027634
682,851,56251.0,389,0.41023080815601054
683,851,56350.0,389,0.3997600032208244
684,851,56207.0,391,0.4008054140764766
685,850,56064.0,392,0.3523604267146192
686,850,55920.0,391,0.34093471294171135
687,850,55778.0,391,0.34363745567773923
688,850,55884.0,394,0.33678475345754944
689,850,56034.0,394,0.31071962420735744
690,850,55896.0,395,0.29250870075953683
691,850,56050.0,397,0.2970601306513537
692,850,55911.0,395,0.30032305149179406
693,850,55778.0,398,0.31412547758107356
694,850,55884.0,395,0.3227775122569181
695,850,55752.0,398,0.34746928851795655
696,850,55616.0,395,0.36870735300660085
697,850,55770.0,397,0.3861392226618509
698,850,55638.0,397,0.4095425017725584
699,850,55506.0,396,0.40162221230538975
700,849,55615.0,396,0.365247942942956
701,849,55483.0,395,0.37439154419472653
702,848,55353.0,394,0.3379897881410782
703,848,55223.0,395,0.33626061204330115
704,848,55092.0,393,0.3194139268077828
705,848,55485.0,393,0.3217996848690872
706,848,55596.0,395,0.32199508687414
